nombres_productos,categorias,precios,imagenes,url
Licor Jinro Chamisul 360 ml X Botella x 360 ml ,BEBIDAS Y LICORES,$ 20.500                          ,https://hipermarfish.com/public/images/productos/DRSB062520220142_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Sake Hana Lychee 375 ml X Botella x 375 ml ,BEBIDAS Y LICORES,$ 39.500                          ,https://hipermarfish.com/public/images/productos/VIJT090620231211_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Sake Hana Lychee 750 ml X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 69.400                          ,https://hipermarfish.com/public/images/productos/B5A2822_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Sake Hana White Peach 375 ml X Unidad x 375 ml ,BEBIDAS Y LICORES,$ 39.500                          ,https://hipermarfish.com/public/images/productos/MYUH090620231212_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Sake Hana Peach 750 ml X Unidad x 750 ml ,BEBIDAS Y LICORES,$ 69.400                          ,https://hipermarfish.com/public/images/productos/B5A2829_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Sho Chiku Bai 1.5 L X Botella x 1.50 lt ,BEBIDAS Y LICORES,$ 93.000                          ,https://hipermarfish.com/public/images/productos/NVRP020120200836_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Sho Chiku Bai 750 ml X Botella x 750 ml ,BEBIDAS Y LICORES,$ 51.000                          ,https://hipermarfish.com/public/images/productos/B5A2828_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Espadines Ahumados en Aceite 270 g X Unidad x 270 g ,CONSERVAS Y ENLATADOS,$ 14.200                          ,https://hipermarfish.com/public/images/productos/ODTO050620200829_400.jpg,https://hipermarfish.com/market/productos/conservas-y-enlatados
Espadines Ahumados en Aceite 240 g X Unidad x 240 g ,CONSERVAS Y ENLATADOS,$ 11.500                          ,https://hipermarfish.com/public/images/productos/ZPUB082720221024_400.jpg,https://hipermarfish.com/market/productos/conservas-y-enlatados
Espadines Ahumados en Aceite 160 g X Unidad x 160 g ,CONSERVAS Y ENLATADOS,$ 8.600                          ,https://hipermarfish.com/public/images/productos/VLNX082720221028_400.jpg,https://hipermarfish.com/market/productos/conservas-y-enlatados
Espadines Ahumados en Aceite 120 g X Unidad x 120 g ,CONSERVAS Y ENLATADOS,$ 9.500                          ,https://hipermarfish.com/public/images/productos/AMGS082720221028_400.jpg,https://hipermarfish.com/market/productos/conservas-y-enlatados
Espadines Ahumados en Aceite 100 g X Unidad x 100 g ,CONSERVAS Y ENLATADOS,$ 8.100                          ,https://hipermarfish.com/public/images/productos/SNRE042520220422_400.jpg,https://hipermarfish.com/market/productos/conservas-y-enlatados
Espadines en Salsa de Tomate 240 g X Unidad x 240 g ,CONSERVAS Y ENLATADOS,$ 7.500                          ,https://hipermarfish.com/public/images/productos/RSBN042520220146_400.jpg,https://hipermarfish.com/market/productos/conservas-y-enlatados
Espadines Ahumados con Chile 100 g X Unidad x 100 g ,CONSERVAS Y ENLATADOS,$ 8.100                          ,https://hipermarfish.com/public/images/productos/ZOZI042520220421_400.jpg,https://hipermarfish.com/market/productos/conservas-y-enlatados
